ts	phase	decision	why	evidence	result
2026-08-26T00:00:00Z	baseline	Preserved the staged, unstaged, and untracked worktree and began from the live compiler state	The repository contains extensive user and prior-worker edits that must not be reset or overwritten	git status --short	baseline recorded; no reset, stash, clean, checkout, stage, or commit
2026-08-26T17:04:19Z	release-iroh	Replaced the raw Java Continuation latch with a bounded BuildersKt.runBlocking bridge	UniFFI stores CancellableContinuation handles; the raw continuation returned COROUTINE_SUSPENDED but never resumed	app/src/androidTest/java/me/egigoka/pomodorough/releaseiroh/ReleaseIrohSmokeInstrumentation.java, scripts/test_ci_workflow.py	RED timeout replaced by coroutine-compatible bridge
2026-08-26T17:04:19Z	release-iroh	Retained only the public BuildersKt.runBlocking facade in the minified target	R8 removed the facade because production did not call it directly; the separately minified probe failed with NoClassDefFoundError	app/proguard-rules.pro, scripts/test_ci_workflow.py	exact method boundary retained; no coroutine wildcard keep
2026-08-26T17:04:19Z	release-iroh	Executed a real two-endpoint handshake against the signed minified release APK on ARM64 API 35	Package inspection and class-boundary checks are insufficient without native bind, connect, accept, ALPN, and peer-identity execution	.github/scripts/smoke-packaged-release.sh, local instrumentation output	OK (1 test); INSTRUMENTATION_CODE -1
2026-08-26T17:48:05Z	accessibility	Added RTL coverage for destructive account actions, account switching, local reset, all seven Iroh states, leave-room confirmation, and DELETE field focus	The independent audit identified missing dialog, network-state, focus, reflow, and touch-target witnesses	PomodoroughRtlAccessibilityTest.kt	ar-XB API 35 ARM64 passed 4/4 at font scales 1.0 and 2.0
2026-08-26T17:48:05Z	accessibility	Raised audited dialog actions from Material's 40dp default to a 48dp minimum	The new 1.0-font regression failed three dialog slices at exactly 40dp while 2.0 font had masked the defect	TimerScreenScaffold.kt, NetworkSection.kt	focused RED reproduced at 1.0; both 1.0 and 2.0 cells then passed 4/4
2026-08-26T17:48:05Z	release-iroh	Made failure diagnostics portable and status-safe	The local smoke exposed missing temp/SDK defaults and an EXIT trap that masked early failures	.github/scripts/smoke-packaged-release.sh, scripts/test_ci_workflow.py	fresh ARM64 handshake passed 1/1; instrumentation, properties, and logcat retained
2026-08-26T17:48:05Z	release-iroh	Expanded release runtime CI from x86_64 alone to API 30 x86 and API 36 x86_64	Executing native payloads is stronger than package-only inspection	.github/workflows/ci.yml, scripts/test_ci_workflow.py	workflow contracts passed 10/10; shell syntax and staged/unstaged diff checks passed
2026-08-26T19:04:21Z	accessibility	Kept the Timer route heading at large font scales and replaced fixed network action rows with wrapping FlowRows	Independent final review found the 2.0-font route assertion was skipped, Timer hid its heading above 1.3x, and network/invite actions had no reflow witness	TimerHero.kt, NetworkSection.kt, PomodoroughRtlAccessibilityTest.kt	coherent ar-XB API 35 ARM64 pair passed 4/4 at font scales 2.0 and 1.0
2026-08-26T19:04:21Z	release-iroh	Proved direct UniFFI binding implementations are defined only by the minified target APK	Independent final review found the duplicate-definition gate covered wrapper classes but not the computer.iroh classes invoked by the release probe	.github/workflows/ci.yml, scripts/test_ci_workflow.py, release target/test DEX inventories	all eight wrapper/direct classes target-only under mapped names; all four target ABIs present; release test has no Iroh native payload; ARM64 handshake OK 1/1
